mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__kernel,param_tf-idf__max_features,param_svm__coef0,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.6421087265014647,0.018557867695526743,0.04906787872314453,0.0013954170663345324,0.2,linear,1000,,"{'svm__C': 0.2, 'svm__kernel': 'linear', 'tf-idf__max_features': 1000}",0.6622860321807599,0.6166981245844511,0.6027774719353667,0.6703112633484685,0.5822710284803359,0.6268687841058764,0.03410109648669386,1
2.9795348167419435,0.0691741783178612,0.05858688354492188,0.006022453314523704,0.2,linear,2000,,"{'svm__C': 0.2, 'svm__kernel': 'linear', 'tf-idf__max_features': 2000}",0.6113283058406727,0.6139257486299019,0.5852903907238273,0.6365178755884637,0.6036268717907961,0.6101378385147325,0.01656176428348222,16
3.1132057189941404,0.05661429396427311,0.056089353561401364,0.002082731337428221,0.2,linear,3000,,"{'svm__C': 0.2, 'svm__kernel': 'linear', 'tf-idf__max_features': 3000}",0.6158861523406979,0.6180841482891648,0.5870087344028521,0.6173197416175834,0.562448492035357,0.6001494537371309,0.022172761467046862,61
2.8705148696899414,0.059261633276045264,0.06367383003234864,0.01856384498436011,0.2,rbf,1000,,"{'svm__C': 0.2, 'svm__kernel': 'rbf', 'tf-idf__max_features': 1000}",0.05371428571428572,0.0436666459794369,0.4524481124522107,0.31277613303692287,0.503557543067017,0.27323254404997466,0.1937112737346862,2496
3.2926891803741456,0.24109891966057337,0.05817294120788574,0.0011160186710188992,0.2,rbf,2000,,"{'svm__C': 0.2, 'svm__kernel': 'rbf', 'tf-idf__max_features': 2000}",0.055443987901615026,0.015417077175697864,0.12408507447925142,0.09250629405126207,0.09223868520350932,0.07593822376226714,0.03725895360293178,2500
3.2636887073516845,0.06107321552420573,0.06422591209411621,0.00861872493841417,0.2,rbf,3000,,"{'svm__C': 0.2, 'svm__kernel': 'rbf', 'tf-idf__max_features': 3000}",0.056279780841286674,0.015417077175697864,0.04925961538461539,0.08287412587412588,0.503557543067017,0.14147762846854856,0.18231310037498283,2497
2.5205883502960207,0.01755240219397141,0.05090041160583496,0.0012439162887964632,0.30000000000000004,linear,1000,,"{'svm__C': 0.30000000000000004, 'svm__kernel': 'linear', 'tf-idf__max_features': 1000}",0.6409204442616208,0.5828463518463518,0.5972773440084695,0.6605402240779814,0.5959741344730808,0.6155116997335008,0.02984763119826218,8
2.8111905574798586,0.02563600243429485,0.05450730323791504,0.0010349772366946874,0.30000000000000004,linear,2000,,"{'svm__C': 0.30000000000000004, 'svm__kernel': 'linear', 'tf-idf__max_features': 2000}",0.6155167011068761,0.6075273539423625,0.6172168024089157,0.6652805412086955,0.5758625646792718,0.6162807926692243,0.02867992730281082,5
3.0166826248168945,0.052955126539970865,0.0566248893737793,0.0008758769942094599,0.30000000000000004,linear,3000,,"{'svm__C': 0.30000000000000004, 'svm__kernel': 'linear', 'tf-idf__max_features': 3000}",0.6237203084789196,0.6079081787419178,0.6135489376523859,0.6681717781129545,0.5842809706606301,0.6195260347293616,0.027556905087655115,3
2.792235994338989,0.039631591232810175,0.05406351089477539,0.0005266189316138537,0.30000000000000004,rbf,1000,,"{'svm__C': 0.30000000000000004, 'svm__kernel': 'rbf', 'tf-idf__max_features': 1000}",0.28347203008344307,0.5451170883246916,0.3358245415911319,0.5267186941099407,0.5477031390040142,0.44776709862264424,0.11421172681746777,2482
3.0136085510253907,0.013404044137726168,0.05867733955383301,0.0028552840873551804,0.30000000000000004,rbf,2000,,"{'svm__C': 0.30000000000000004, 'svm__kernel': 'rbf', 'tf-idf__max_features': 2000}",0.08580010797136378,0.43624199205050274,0.2420640394058064,0.30549050706378644,0.5483068413829602,0.3235806975748839,0.1591893440703554,2494
3.323340129852295,0.09265701021870218,0.06304473876953125,0.0026431845308699823,0.30000000000000004,rbf,3000,,"{'svm__C': 0.30000000000000004, 'svm__kernel': 'rbf', 'tf-idf__max_features': 3000}",0.10125668337510443,0.4743059623038222,0.14745940015250358,0.26949890302888924,0.5480003067684737,0.3081042511257587,0.17621361107571137,2495
2.733078050613403,0.16007255595573094,0.06924104690551758,0.022916053215998367,0.4000000000000001,linear,1000,,"{'svm__C': 0.4000000000000001, 'svm__kernel': 'linear', 'tf-idf__max_features': 1000}",0.6289878352817478,0.5818083233257946,0.5954871372896214,0.6517138134462382,0.5878266832529981,0.6091647585192801,0.026810974516324044,17
2.758773422241211,0.10165096226648421,0.05567936897277832,0.0016451221365813625,0.4000000000000001,linear,2000,,"{'svm__C': 0.4000000000000001, 'svm__kernel': 'linear', 'tf-idf__max_features': 2000}",0.6357005131964809,0.592289107958556,0.6074907950065371,0.6662286251709985,0.597944531617243,0.6199307145899631,0.027547723428178794,2
3.0052795886993406,0.08312841555860169,0.05832095146179199,0.0018995480910347616,0.4000000000000001,linear,3000,,"{'svm__C': 0.4000000000000001, 'svm__kernel': 'linear', 'tf-idf__max_features': 3000}",0.6366831060066092,0.5889363603334249,0.6196451195862962,0.6514875466346055,0.5814580147112374,0.6156420294544347,0.026927281192709308,6
2.8111552715301515,0.05594362973856553,0.05412225723266602,0.0014810885476821795,0.4000000000000001,rbf,1000,,"{'svm__C': 0.4000000000000001, 'svm__kernel': 'rbf', 'tf-idf__max_features': 1000}",0.5988314405383492,0.5609148215366001,0.5547335567658148,0.5791393396235167,0.5502047524452899,0.5687647821819143,0.017970015355955864,1519
